iter	RMSE
0	372502.2167
1	367691.5627
2	362917.1459
3	357557.6439
4	351850.0568
5	346594.2316
6	341365.6197
7	337304.237
8	332875.1573
9	330021.2609
10	326458.0112
11	321542.7741
12	316686.5753
13	312148.1
14	307640.9687
15	304229.6751
16	300172.5434
17	297022.7304
18	292600.5392
19	288320.1639
20	284761.32
21	281271.958
22	278119.5852
23	274086.6617
24	270064.9915
25	266150.867
26	262868.8446
27	260076.3922
28	256339.0013
29	254013.1791
30	251300.0171
31	248251.4294
32	244636.4968
33	241111.9798
34	238540.1298
35	235151.6297
36	231868.9038
37	228554.2681
38	226123.677
39	224179.8188
40	221002.505
41	217992.2371
42	215019.439
43	212007.236
44	209553.8822
45	207255.5851
46	204416.4362
47	202473.6847
48	200369.9015
49	197636.0746
50	194901.1019
51	192085.8888
52	189977.4315
53	188242.4501
54	186583.7296
55	183984.3961
56	182112.3555
57	179738.7445
58	177679.2505
59	175932.0439
60	174406.2307
61	172195.1186
62	170714.3064
63	168952.8053
64	167425.0508
65	165629.216
66	164134.9829
67	162528.8742
68	160825.1871
69	159438.0774
70	157389.5413
71	156033.4261
72	154563.3877
73	153209.3223
74	151215.7845
75	149582.6207
76	148198.9293
77	147111.8465
78	145862.4941
79	144760.5015
80	143662.0659
81	141809.7023
82	140108.4071
83	138794.8969
84	137027.3792
85	135277.3701
86	133809.7298
87	132695.1181
88	131592.3273
89	130665.8058
90	129512.2305
91	128436.4435
92	126840.7948
93	125318.509
94	123860.8843
95	123045.6078
96	121838.905
97	120416.9885
98	119589.1673
99	118891.8051
100	117619.2617
101	116538.6997
102	115932.5459
103	115054.1191
104	114126.0237
105	112863.723
106	111570.186
107	110230.6144
108	108852.9128
109	108125.1219
110	107042.0375
111	106352.4451
112	105423.3378
113	104781.0715
114	103718.8609
115	102943.3069
116	102267.2184
117	101610.919
118	100863.3081
119	100202.4342
120	99616.64587
121	98826.05062
122	98048.84979
123	96969.60289
124	95958.2464
125	95196.1795
126	94481.17121
127	93663.30379
128	93154.04587
129	92594.82114
130	91696.36474
131	91175.25759
132	90295.88253
133	89724.56267
134	88978.5545
135	88368.3245
136	87688.63197
137	87180.60863
138	86514.53626
139	86007.20288
140	85169.40212
141	84348.67336
142	83901.95185
143	83189.37834
144	82803.68505
145	82256.35705
146	81577.02746
147	81248.54848
148	80821.09202
149	80323.30658
150	79996.6915
151	79275.10213
152	78487.97266
153	78201.43101
154	77767.82613
155	77274.09929
156	76948.82198
157	76512.07203
158	75988.6069
159	75612.13576
160	75137.59691
161	74804.39602
162	74154.41487
163	73806.32344
164	73412.37725
165	73091.2527
166	72708.78229
167	72322.42916
168	71824.05473
169	71535.30907
170	70974.38501
171	70595.10939
172	70238.27907
173	69735.43555
174	69328.49916
175	69145.37792
176	68893.29817
177	68664.81368
178	68479.78402
179	68148.57445
180	67830.31783
181	67406.03287
182	66934.55563
183	66753.344
184	66448.54101
185	65943.79012
186	65662.78773
187	65415.51952
188	65145.74234
189	64803.37918
190	64460.3249
191	64144.83172
192	63960.2912
193	63513.18093
194	63283.60958
195	62871.93656
196	62575.9023
197	62449.88396
198	62094.93656
199	61835.93887
200	61526.15317
201	61174.90684
202	60865.07574
203	60618.27823
204	60407.17288
205	60044.27823
206	59813.14638
207	59688.73598
208	59349.11493
209	59140.99469
210	58839.85917
211	58625.95997
212	58389.51661
213	57981.10029
214	57767.40532
215	57543.32843
216	57289.14488
217	57026.07867
218	56825.9758
219	56623.80841
220	56454.00951
221	56123.82028
222	55924.56612
223	55683.43119
224	55454.58552
225	55351.48411
226	55101.6218
227	54882.16107
228	54570.64442
229	54365.24497
230	54197.71301
231	53890.53572
232	53752.62817
233	53657.06003
234	53386.41544
235	53223.52936
236	53003.66288
237	52803.81616
238	52703.47929
239	52520.95733
240	52407.58309
241	52247.84238
242	52044.61739
243	51889.85121
244	51776.24094
245	51669.81816
246	51598.1897
247	51411.48247
248	51336.52116
249	51136.41714
250	50950.43836
251	50820.75387
252	50567.44271
253	50426.40981
254	50351.56482
255	50301.92928
256	50094.44599
257	49896.98218
258	49741.45526
259	49510.37926
260	49443.89657
261	49301.52586
262	49174.55209
263	49073.15514
264	48950.47686
265	48821.59425
266	48578.84911
267	48386.14155
268	48333.53564
269	48124.02305
270	47968.71241
271	47850.76735
272	47718.7175
273	47626.05793
274	47588.84249
275	47502.66064
276	47382.28457
277	47346.69342
278	47245.19083
279	47045.06825
280	47003.97389
281	46901.5974
282	46685.55108
283	46592.00193
284	46500.64872
285	46448.18693
286	46341.07371
287	46251.46745
288	46107.07725
289	45990.04114
290	45888.40607
291	45829.04058
292	45767.72837
293	45612.37899
294	45552.19752
295	45413.56182
296	45315.34232
297	45201.08774
298	45163.94315
299	45007.51645
300	44884.74953
301	44848.49223
302	44728.18511
303	44592.5599
304	44462.09197
305	44271.72886
306	44167.02651
307	44070.6425
308	44046.89792
309	43956.7301
310	43924.16161
311	43864.8589
312	43699.84989
313	43589.63143
314	43450.33199
315	43300.17022
316	43205.0093
317	43086.03441
318	42996.23547
319	42967.71098
320	42797.63093
321	42777.61039
322	42731.21831
323	42665.94709
324	42595.29968
325	42527.60957
326	42457.99585
327	42431.47454
328	42363.43087
329	42325.74551
330	42292.10206
331	42202.62461
332	42046.21826
333	41939.86176
334	41783.04364
335	41704.45463
336	41611.16551
337	41485.32246
338	41422.57525
339	41357.77378
340	41298.08563
341	41268.39787
342	41162.96951
343	40983.86893
344	40940.63936
345	40903.45979
346	40859.58641
347	40711.44596
348	40657.97198
349	40623.20867
350	40496.23758
351	40470.24764
352	40413.28675
353	40274.68137
354	40252.94489
355	40240.02219
356	40184.1109
357	40073.55349
358	40039.91618
359	40005.52684
360	39838.48126
361	39804.93929
362	39764.32734
363	39734.64359
364	39623.45613
365	39468.48634
366	39292.8293
367	39260.31364
368	39135.64787
369	39066.08495
370	39030.8837
371	38932.85861
372	38779.88584
373	38761.14526
374	38694.15968
375	38670.4468
376	38643.42639
377	38607.02212
378	38555.90211
379	38461.28094
380	38432.17649
381	38288.11919
382	38212.47657
383	38044.02986
384	37930.40966
385	37867.93127
386	37747.9973
387	37647.29439
388	37585.45655
389	37527.25996
390	37490.22688
391	37372.43477
392	37264.76493
393	37114.65311
394	37009.99411
395	36918.53229
396	36889.49943
397	36859.1505
398	36798.88715
399	36674.90905
400	36614.74848
401	36541.04909
402	36531.98312
403	36483.88765
404	36449.44589
405	36367.77229
406	36199.88504
407	36031.41302
408	35949.10195
409	35939.81084
410	35837.37263
411	35822.40607
412	35726.43024
413	35657.89975
414	35529.89034
415	35490.9755
416	35371.60642
417	35314.52477
418	35200.37177
419	35157.68405
420	35033.63828
421	34957.5281
422	34835.71673
423	34796.78534
424	34782.81669
425	34717.41495
426	34676.78474
427	34585.379
428	34571.83728
429	34564.61476
430	34506.3071
431	34360.54067
432	34294.77751
433	34172.80615
434	34083.17679
435	33991.2551
436	33878.69471
437	33866.67788
438	33859.81918
439	33802.79597
440	33709.32488
441	33634.84755
442	33585.16387
443	33504.27564
444	33493.81975
445	33447.93031
446	33392.78625
447	33304.08031
448	33225.3787
449	33180.71069
450	33118.92994
451	33039.79349
452	32993.46288
453	32913.39197
454	32861.99026
455	32809.4024
456	32755.7378
457	32731.00755
458	32660.06111
459	32585.61456
460	32554.08344
461	32508.69017
462	32438.08083
463	32404.08103
464	32369.75298
465	32280.05778
466	32257.99028
467	32199.37554
468	32140.55378
469	32057.05568
470	32012.2853
471	31934.33213
472	31854.45655
473	31771.14697
474	31709.41362
475	31662.99523
476	31617.78614
477	31566.27581
478	31512.3919
479	31486.56655
480	31409.57273
481	31350.59533
482	31264.77912
483	31182.86917
484	31133.03451
485	31102.84015
486	31051.76446
487	30980.1827
488	30907.95687
489	30847.28818
490	30780.67375
491	30720.80358
492	30653.53793
493	30547.81262
494	30472.47444
495	30424.71491
496	30378.36657
497	30346.19757
498	30301.46288
499	30218.64983
500	30170.45428
501	30109.54336
502	30032.89442
503	29967.1991
504	29896.66487
505	29827.62142
506	29778.90253
507	29751.69132
508	29690.27825
509	29621.19183
510	29568.66914
511	29466.80283
512	29398.37337
513	29355.74094
514	29311.44202
515	29245.78466
516	29214.61984
517	29154.03755
518	29095.55308
519	29053.20692
520	28987.59536
521	28894.1728
522	28845.65696
523	28802.0501
524	28716.80699
525	28655.24261
526	28594.89813
527	28564.64558
528	28493.84789
529	28430.00106
530	28382.53296
531	28348.35491
532	28316.4123
533	28269.45571
534	28224.38998
535	28192.63113
536	28117.72172
537	28083.90388
538	28037.24954
539	27962.11211
540	27910.15865
541	27873.05388
542	27825.96991
543	27784.39356
544	27752.01031
545	27716.82836
546	27657.80182
547	27629.5585
548	27587.37949
549	27529.82019
550	27488.9336
551	27454.23777
552	27425.71328
553	27393.07624
554	27350.59047
555	27331.30111
556	27303.27905
557	27262.08572
558	27238.83015
559	27188.01774
560	27154.30751
561	27127.53999
562	27082.82249
563	27030.85989
564	26981.57273
565	26945.69274
566	26898.25175
567	26863.25034
568	26825.01115
569	26795.56905
570	26750.15884
571	26726.80297
572	26689.4531
573	26659.72514
574	26630.85277
575	26584.0971
576	26554.26571
577	26521.20184
578	26485.87715
579	26431.26161
580	26394.95855
581	26363.36863
582	26319.41782
583	26290.27605
584	26266.67483
585	26229.08544
586	26194.46962
587	26150.58636
588	26110.01
589	26055.57233
590	26034.35139
591	25982.30501
592	25947.18296
593	25915.14747
594	25883.28378
595	25855.07205
596	25826.39627
597	25781.85341
598	25726.88475
599	25694.95675
600	25657.18456
601	25625.82232
602	25596.3487
603	25557.0456
604	25527.34095
605	25501.11143
606	25460.19358
607	25435.54959
608	25408.88152
609	25367.75155
610	25322.78295
611	25294.25341
612	25257.00088
613	25235.20434
614	25209.08547
615	25176.67997
616	25138.6415
617	25116.52127
618	25097.82031
619	25072.26198
620	25026.96496
621	24981.33914
622	24950.94212
623	24914.6787
624	24885.83377
625	24847.7063
626	24819.87028
627	24799.09014
628	24770.15867
629	24754.46159
630	24715.58533
631	24681.69529
632	24651.11763
633	24631.40639
634	24604.718
635	24579.57621
636	24548.061
637	24533.6241
638	24500.60293
639	24456.97787
640	24427.06769
641	24414.81073
642	24379.13109
643	24343.96011
644	24308.61218
645	24272.51966
646	24247.90355
647	24204.22698
648	24175.86482
649	24152.79614
650	24114.9095
651	24093.32262
652	24073.85626
653	24038.5037
654	24010.78795
655	23987.91538
656	23958.66073
657	23927.95258
658	23894.14302
659	23868.43384
660	23837.22066
661	23812.86617
662	23776.31135
663	23732.01908
664	23716.98645
665	23687.87366
666	23672.22453
667	23635.39661
668	23600.17729
669	23570.49359
670	23540.59812
671	23507.66122
672	23497.38006
673	23464.59879
674	23439.3121
675	23419.57844
676	23402.24735
677	23367.68032
678	23339.67354
679	23317.43457
680	23289.09002
681	23269.22384
682	23246.34478
683	23213.16361
684	23184.24155
685	23147.75686
686	23125.57258
687	23113.56465
688	23088.15787
689	23069.65253
690	23054.79948
691	23028.29796
692	23006.87432
693	22986.9376
694	22964.67821
695	22943.92461
696	22920.55855
697	22899.30617
698	22884.27416
699	22854.39246
700	22832.57989
701	22824.78469
702	22800.60959
703	22784.17505
704	22766.90784
705	22740.94202
706	22712.06412
707	22692.54085
708	22680.07384
709	22654.02901
710	22631.22198
711	22604.10516
712	22570.2559
713	22540.6394
714	22509.14236
715	22495.09773
716	22477.57438
717	22446.55998
718	22435.15856
719	22416.9343
720	22390.43889
721	22368.45931
722	22355.02891
723	22340.21206
724	22319.25089
725	22303.92283
726	22276.69535
727	22259.1913
728	22233.57315
729	22212.68028
730	22188.61156
731	22165.90325
732	22142.7764
733	22127.41263
734	22111.04438
735	22095.25268
736	22071.43215
737	22057.96929
738	22034.30808
739	22024.0493
740	22007.50183
741	21987.3069
742	21965.37501
743	21953.2167
744	21932.94603
745	21916.71335
746	21899.34986
747	21876.54933
748	21857.56164
749	21833.9036
750	21826.41938
751	21816.13945
752	21800.04894
753	21777.63616
754	21759.22882
755	21737.41727
756	21722.232
757	21708.85841
758	21698.21864
759	21682.68937
760	21663.48824
761	21640.83348
762	21630.39757
763	21620.45911
764	21608.23935
765	21585.88572
766	21576.07973
767	21559.42047
768	21536.16589
769	21528.65032
770	21510.23669
771	21500.74207
772	21480.43754
773	21466.07962
774	21436.99026
775	21410.8439
776	21397.28076
777	21379.95228
778	21370.85389
779	21348.37688
780	21333.29975
781	21320.5258
782	21300.44408
783	21277.6007
784	21260.34643
785	21246.20359
786	21231.4295
787	21223.0951
788	21215.72087
789	21209.0679
790	21200.76655
791	21175.02221
792	21141.57154
793	21135.75853
794	21127.02495
795	21110.49237
796	21107.09833
797	21091.47715
798	21082.45888
799	21067.59901
800	21058.48383
801	21035.35059
802	21030.56703
803	21019.11303
804	21004.38066
805	20993.70937
806	20978.49708
807	20961.07856
808	20944.69213
809	20930.0362
810	20915.43673
811	20898.16486
812	20885.49488
813	20861.76997
814	20850.39567
815	20841.43926
816	20821.94843
817	20801.76317
818	20796.33948
819	20788.40813
820	20762.45953
821	20742.56745
822	20715.54346
823	20696.06707
824	20681.46141
825	20670.85877
826	20645.71039
827	20624.20633
828	20603.35961
829	20587.40238
830	20563.81132
831	20551.07447
832	20541.66636
833	20526.08744
834	20510.12674
835	20502.80215
836	20480.27885
837	20467.05255
838	20436.06877
839	20409.07053
840	20377.68189
841	20362.11085
842	20344.25547
843	20332.10361
844	20321.74136
845	20310.14859
846	20297.85881
847	20284.10447
848	20269.84752
849	20259.69904
