iter	Passed	Remaining
0	14	12255
1	27	11653
2	44	12423
3	51	10790
4	66	11308
5	79	11202
6	92	11096
7	106	11237
8	121	11363
9	122	10309
10	134	10271
11	142	9917
12	155	9987
13	169	10123
14	182	10183
15	187	9752
16	200	9801
17	206	9559
18	220	9624
19	231	9627
20	246	9723
21	258	9730
22	272	9797
23	286	9844
24	301	9939
25	314	9979
26	329	10047
27	331	9734
28	345	9779
29	349	9553
30	363	9595
31	375	9591
32	388	9607
33	400	9618
34	413	9638
35	421	9525
36	433	9526
37	447	9552
38	454	9461
39	456	9251
40	470	9283
41	484	9321
42	498	9351
43	511	9364
44	523	9370
45	537	9399
46	550	9409
47	554	9266
48	567	9270
49	579	9265
50	592	9280
51	604	9279
52	611	9196
53	623	9195
54	625	9036
55	638	9053
56	650	9050
57	663	9058
58	676	9076
59	691	9098
60	693	8975
61	707	8997
62	721	9009
63	725	8906
64	738	8915
65	752	8940
66	766	8960
67	778	8952
68	791	8962
69	794	8852
70	807	8862
71	821	8876
72	834	8887
73	847	8891
74	862	8908
75	875	8917
76	889	8925
77	890	8809
78	891	8700
79	894	8607
80	895	8499
81	901	8444
82	915	8463
83	929	8473
84	941	8471
85	954	8475
86	966	8478
87	979	8478
88	992	8484
89	996	8413
90	1009	8418
91	1022	8426
92	1034	8421
93	1047	8425
94	1061	8435
95	1065	8371
96	1079	8382
97	1091	8379
98	1105	8388
99	1106	8301
100	1121	8315
101	1125	8250
102	1125	8164
103	1138	8169
104	1142	8107
105	1155	8112
106	1166	8102
107	1181	8114
108	1194	8118
109	1206	8114
110	1219	8119
111	1227	8086
112	1234	8049
113	1248	8059
114	1252	8007
115	1267	8017
116	1279	8017
117	1294	8029
118	1307	8030
119	1321	8037
120	1323	7970
121	1336	7977
122	1349	7973
123	1361	7969
124	1373	7966
125	1386	7965
126	1399	7965
127	1407	7939
128	1421	7943
129	1423	7881
130	1437	7887
131	1439	7831
132	1453	7837
133	1467	7840
134	1480	7838
135	1486	7805
136	1500	7808
137	1514	7814
138	1529	7822
139	1550	7863
140	1568	7888
141	1586	7909
142	1594	7883
143	1610	7893
144	1627	7915
145	1643	7923
146	1657	7925
147	1658	7865
148	1662	7819
149	1676	7822
150	1677	7767
151	1692	7772
152	1707	7777
153	1708	7721
154	1721	7720
155	1733	7711
156	1735	7658
157	1738	7615
158	1751	7612
159	1758	7585
160	1763	7545
161	1776	7543
162	1789	7542
163	1790	7490
164	1802	7484
165	1805	7438
166	1817	7433
167	1824	7406
168	1834	7393
169	1846	7387
170	1859	7382
171	1871	7378
172	1885	7377
173	1896	7368
174	1908	7363
175	1921	7356
176	1935	7358
177	1947	7350
178	1947	7301
179	1959	7291
180	1970	7282
181	1982	7275
182	1995	7274
183	1997	7230
184	2011	7230
185	2024	7228
186	2038	7227
187	2040	7184
188	2053	7180
189	2065	7175
190	2077	7168
191	2092	7169
192	2094	7128
193	2107	7125
194	2117	7113
